,date,home_team,score,away_team
0,14-08-2023,Cadiz,1 - 0,Alaves
1,21-08-2023,Alaves,4 - 3,Sevilla
2,28-08-2023,Getafe,1 - 0,Alaves
3,02-09-2023,Alaves,1 - 0,Valencia
4,15-09-2023,Vallecano,2 - 0,Alaves
5,22-09-2023,Alaves,0 - 2,Ath Bilbao
6,28-09-2023,Celta,1 - 1,Alaves
7,01-10-2023,Alaves,0 - 2,Osasuna
8,08-10-2023,Alaves,1 - 1,Betis
9,22-10-2023,Villarreal,1 - 1,Alaves
10,29-10-2023,Ath Madrid,2 - 1,Alaves
11,05-11-2023,Alaves,1 - 0,Almeria
12,12-11-2023,Barcelona,2 - 1,Alaves
13,24-11-2023,Alaves,3 - 1,Granada
14,03-12-2023,Mallorca,0 - 0,Alaves
15,09-12-2023,Alaves,0 - 1,Las Palmas
16,18-12-2023,Girona,3 - 0,Alaves
17,21-12-2023,Alaves,0 - 1,Real Madrid
18,02-01-2024,Sociedad,1 - 1,Alaves
19,12-01-2024,Sevilla,2 - 3,Alaves
20,19-01-2024,Alaves,1 - 0,Cadiz
21,26-01-2024,Almeria,0 - 3,Alaves
22,03-02-2024,Alaves,1 - 3,Barcelona
23,10-02-2024,Alaves,1 - 1,Villarreal
24,18-02-2024,Betis,0 - 0,Alaves
25,24-02-2024,Alaves,1 - 1,Mallorca
26,04-03-2024,Osasuna,1 - 0,Alaves
27,10-03-2024,Alaves,1 - 0,Vallecano
28,16-03-2024,Ath Bilbao,? - ?,Alaves
29,11-08-2023,Almeria,0 - 2,Vallecano
30,19-08-2023,Almeria,1 - 3,Real Madrid
31,26-08-2023,Cadiz,1 - 1,Almeria
32,01-09-2023,Almeria,2 - 3,Celta
33,17-09-2023,Villarreal,2 - 1,Almeria
34,23-09-2023,Almeria,2 - 2,Valencia
35,26-09-2023,Sevilla,5 - 1,Almeria
36,01-10-2023,Almeria,3 - 3,Granada
37,06-10-2023,Ath Bilbao,3 - 0,Almeria
38,22-10-2023,Girona,5 - 2,Almeria
39,28-10-2023,Almeria,1 - 2,Las Palmas
40,05-11-2023,Alaves,1 - 0,Almeria
41,11-11-2023,Almeria,1 - 3,Sociedad
42,25-11-2023,Getafe,2 - 1,Almeria
43,03-12-2023,Almeria,0 - 0,Betis
44,10-12-2023,Ath Madrid,2 - 1,Almeria
45,17-12-2023,Almeria,0 - 0,Mallorca
46,20-12-2023,Barcelona,3 - 2,Almeria
47,04-01-2024,Osasuna,1 - 0,Almeria
48,14-01-2024,Almeria,0 - 0,Girona
49,21-01-2024,Real Madrid,3 - 2,Almeria
50,26-01-2024,Almeria,0 - 3,Alaves
51,03-02-2024,Valencia,2 - 1,Almeria
52,12-02-2024,Almeria,0 - 0,Ath Bilbao
53,18-02-2024,Granada,1 - 1,Almeria
54,24-02-2024,Almeria,2 - 2,Ath Madrid
55,01-03-2024,Celta,1 - 0,Almeria
56,11-03-2024,Almeria,2 - 2,Sevilla
57,17-03-2024,Las Palmas,? - ?,Almeria
58,12-08-2023,Ath Bilbao,0 - 2,Real Madrid
59,19-08-2023,Osasuna,0 - 2,Ath Bilbao
60,27-08-2023,Ath Bilbao,4 - 2,Betis
61,03-09-2023,Mallorca,0 - 0,Ath Bilbao
62,16-09-2023,Ath Bilbao,3 - 0,Cadiz
63,22-09-2023,Alaves,0 - 2,Ath Bilbao
64,27-09-2023,Ath Bilbao,2 - 2,Getafe
65,30-09-2023,Sociedad,3 - 0,Ath Bilbao
66,06-10-2023,Ath Bilbao,3 - 0,Almeria
67,22-10-2023,Barcelona,1 - 0,Ath Bilbao
68,29-10-2023,Ath Bilbao,2 - 2,Valencia
69,05-11-2023,Villarreal,2 - 3,Ath Bilbao
70,10-11-2023,Ath Bilbao,4 - 3,Celta
71,27-11-2023,Girona,1 - 1,Ath Bilbao
72,02-12-2023,Ath Bilbao,4 - 0,Vallecano
73,11-12-2023,Granada,1 - 1,Ath Bilbao
74,16-12-2023,Ath Bilbao,2 - 0,Ath Madrid
75,20-12-2023,Ath Bilbao,1 - 0,Las Palmas
76,04-01-2024,Sevilla,0 - 2,Ath Bilbao
77,13-01-2024,Ath Bilbao,2 - 1,Sociedad
78,20-01-2024,Valencia,1 - 0,Ath Bilbao
79,28-01-2024,Cadiz,0 - 0,Ath Bilbao
80,02-02-2024,Ath Bilbao,4 - 0,Mallorca
81,12-02-2024,Almeria,0 - 0,Ath Bilbao
82,19-02-2024,Ath Bilbao,3 - 2,Girona
83,25-02-2024,Betis,3 - 1,Ath Bilbao
84,03-03-2024,Ath Bilbao,0 - 0,Barcelona
85,10-03-2024,Las Palmas,0 - 2,Ath Bilbao
86,16-03-2024,Ath Bilbao,? - ?,Alaves
87,14-08-2023,Ath Madrid,3 - 1,Granada
88,20-08-2023,Betis,0 - 0,Ath Madrid
89,28-08-2023,Vallecano,0 - 7,Ath Madrid
90,16-09-2023,Valencia,3 - 0,Ath Madrid
91,24-09-2023,Ath Madrid,3 - 1,Real Madrid
92,28-09-2023,Osasuna,0 - 2,Ath Madrid
93,01-10-2023,Ath Madrid,3 - 2,Cadiz
94,08-10-2023,Ath Madrid,2 - 1,Sociedad
95,21-10-2023,Celta,0 - 3,Ath Madrid
96,29-10-2023,Ath Madrid,2 - 1,Alaves
97,03-11-2023,Las Palmas,2 - 1,Ath Madrid
98,12-11-2023,Ath Madrid,3 - 1,Villarreal
99,25-11-2023,Ath Madrid,1 - 0,Mallorca
100,03-12-2023,Barcelona,1 - 0,Ath Madrid
101,10-12-2023,Ath Madrid,2 - 1,Almeria
102,16-12-2023,Ath Bilbao,2 - 0,Ath Madrid
103,19-12-2023,Ath Madrid,3 - 3,Getafe
104,23-12-2023,Ath Madrid,1 - 0,Sevilla
105,03-01-2024,Girona,4 - 3,Ath Madrid
106,22-01-2024,Granada,0 - 1,Ath Madrid
107,28-01-2024,Ath Madrid,2 - 0,Valencia
108,31-01-2024,Ath Madrid,2 - 1,Vallecano
109,04-02-2024,Real Madrid,1 - 1,Ath Madrid
110,11-02-2024,Sevilla,1 - 0,Ath Madrid
111,17-02-2024,Ath Madrid,5 - 0,Las Palmas
112,24-02-2024,Almeria,2 - 2,Ath Madrid
113,03-03-2024,Ath Madrid,2 - 1,Betis
114,09-03-2024,Cadiz,2 - 0,Ath Madrid
115,17-03-2024,Ath Madrid,? - ?,Barcelona
116,13-08-2023,Getafe,0 - 0,Barcelona
117,20-08-2023,Barcelona,2 - 0,Cadiz
118,27-08-2023,Villarreal,3 - 4,Barcelona
119,03-09-2023,Osasuna,1 - 2,Barcelona
120,16-09-2023,Barcelona,5 - 0,Betis
121,23-09-2023,Barcelona,3 - 2,Celta
122,26-09-2023,Mallorca,2 - 2,Barcelona
123,29-09-2023,Barcelona,1 - 0,Sevilla
124,08-10-2023,Granada,2 - 2,Barcelona
125,22-10-2023,Barcelona,1 - 0,Ath Bilbao
126,28-10-2023,Barcelona,1 - 2,Real Madrid
127,04-11-2023,Sociedad,0 - 1,Barcelona
128,12-11-2023,Barcelona,2 - 1,Alaves
129,25-11-2023,Vallecano,1 - 1,Barcelona
130,03-12-2023,Barcelona,1 - 0,Ath Madrid
131,10-12-2023,Barcelona,2 - 4,Girona
132,16-12-2023,Valencia,1 - 1,Barcelona
133,20-12-2023,Barcelona,3 - 2,Almeria
134,04-01-2024,Las Palmas,1 - 2,Barcelona
135,21-01-2024,Betis,2 - 4,Barcelona
136,27-01-2024,Barcelona,3 - 5,Villarreal
137,31-01-2024,Barcelona,1 - 0,Osasuna
138,03-02-2024,Alaves,1 - 3,Barcelona
139,11-02-2024,Barcelona,3 - 3,Granada
140,17-02-2024,Celta,1 - 2,Barcelona
141,24-02-2024,Barcelona,4 - 0,Getafe
142,03-03-2024,Ath Bilbao,0 - 0,Barcelona
143,08-03-2024,Barcelona,1 - 0,Mallorca
144,17-03-2024,Ath Madrid,? - ?,Barcelona
145,13-08-2023,Villarreal,1 - 2,Betis
146,20-08-2023,Betis,0 - 0,Ath Madrid
147,27-08-2023,Ath Bilbao,4 - 2,Betis
148,02-09-2023,Betis,1 - 0,Vallecano
149,16-09-2023,Barcelona,5 - 0,Betis
150,24-09-2023,Betis,1 - 1,Cadiz
151,28-09-2023,Granada,1 - 1,Betis
152,01-10-2023,Betis,3 - 0,Valencia
153,08-10-2023,Alaves,1 - 1,Betis
154,21-10-2023,Getafe,1 - 1,Betis
155,29-10-2023,Betis,2 - 1,Osasuna
156,04-11-2023,Betis,2 - 0,Mallorca
157,12-11-2023,Sevilla,1 - 1,Betis
158,26-11-2023,Betis,1 - 0,Las Palmas
159,03-12-2023,Almeria,0 - 0,Betis
160,09-12-2023,Betis,1 - 1,Real Madrid
161,17-12-2023,Sociedad,0 - 0,Betis
162,21-12-2023,Betis,1 - 1,Girona
163,03-01-2024,Celta,2 - 1,Betis
164,13-01-2024,Betis,1 - 0,Granada
165,21-01-2024,Betis,2 - 4,Barcelona
166,27-01-2024,Mallorca,0 - 1,Betis
167,04-02-2024,Betis,1 - 1,Getafe
168,09-02-2024,Cadiz,0 - 2,Betis
169,18-02-2024,Betis,0 - 0,Alaves
170,25-02-2024,Betis,3 - 1,Ath Bilbao
171,03-03-2024,Ath Madrid,2 - 1,Betis
172,10-03-2024,Betis,2 - 3,Villarreal
173,17-03-2024,Vallecano,? - ?,Betis
174,14-08-2023,Cadiz,1 - 0,Alaves
175,20-08-2023,Barcelona,2 - 0,Cadiz
176,26-08-2023,Cadiz,1 - 1,Almeria
177,01-09-2023,Cadiz,3 - 1,Villarreal
178,16-09-2023,Ath Bilbao,3 - 0,Cadiz
179,24-09-2023,Betis,1 - 1,Cadiz
180,27-09-2023,Cadiz,0 - 0,Vallecano
181,01-10-2023,Ath Madrid,3 - 2,Cadiz
182,07-10-2023,Cadiz,0 - 1,Girona
183,23-10-2023,Valencia,2 - 0,Cadiz
184,28-10-2023,Cadiz,2 - 2,Sevilla
185,06-11-2023,Getafe,1 - 0,Cadiz
186,26-11-2023,Cadiz,0 - 3,Real Madrid
187,29-11-2023,Mallorca,1 - 1,Cadiz
188,04-12-2023,Celta,1 - 1,Cadiz
189,10-12-2023,Cadiz,1 - 1,Osasuna
190,17-12-2023,Las Palmas,1 - 1,Cadiz
191,21-12-2023,Cadiz,0 - 0,Sociedad
192,03-01-2024,Granada,2 - 0,Cadiz
193,14-01-2024,Cadiz,1 - 4,Valencia
194,19-01-2024,Alaves,1 - 0,Cadiz
195,28-01-2024,Cadiz,0 - 0,Ath Bilbao
196,04-02-2024,Villarreal,0 - 0,Cadiz
197,09-02-2024,Cadiz,0 - 2,Betis
198,17-02-2024,Osasuna,2 - 0,Cadiz
199,25-02-2024,Cadiz,2 - 2,Celta
200,02-03-2024,Vallecano,1 - 1,Cadiz
201,09-03-2024,Cadiz,2 - 0,Ath Madrid
202,15-03-2024,Sociedad,? - ?,Cadiz
203,13-08-2023,Celta,0 - 2,Osasuna
204,19-08-2023,Sociedad,1 - 1,Celta
205,25-08-2023,Celta,0 - 1,Real Madrid
206,01-09-2023,Almeria,2 - 3,Celta
207,16-09-2023,Celta,0 - 1,Mallorca
208,23-09-2023,Barcelona,3 - 2,Celta
209,28-09-2023,Celta,1 - 1,Alaves
